"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.17"
"[Data Information]"
"Data is:","Modified"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","09/26/2023 04:04:59 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245901959SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","Emission"
"EX Wavelength:","488.0 nm"
"EM Wavelength Start:","400.0 nm"
"EM Wavelength End:","800.0 nm"
"Data Interval:","1.0 nm"
"Scan Speed:","60000 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"MoS2_IPGR_Fluo.fs2f - CorrectionData"
"Wavelength nm.","Intensity"
400,138.178
401,141.877
402,144.460
403,134.136
404,125.736
405,116.726
406,129.352
407,123.199
408,128.557
409,125.050
410,122.731
411,133.970
412,135.256
413,127.799
414,116.066
415,114.288
416,111.355
417,113.561
418,116.930
419,146.118
420,111.181
421,112.072
422,129.591
423,109.323
424,128.011
425,124.336
426,138.956
427,122.853
428,119.664
429,129.403
430,126.958
431,129.252
432,137.077
433,136.433
434,119.578
435,126.754
436,137.870
437,136.709
438,148.191
439,161.362
440,153.620
441,175.985
442,189.479
443,197.386
444,204.992
445,220.070
446,211.711
447,222.911
448,217.532
449,204.731
450,258.675
451,223.441
452,226.384
453,238.194
454,255.662
455,245.220
456,238.809
457,266.247
458,265.714
459,243.149
460,276.614
461,235.984
462,280.905
463,270.071
464,301.601
465,351.373
466,353.231
467,360.644
468,377.048
469,410.501
470,438.082
471,456.447
472,474.739
473,474.457
474,500.130
475,513.222
476,539.969
477,712.557
478,1592.342
479,5928.570
480,23025.676
481,66056.306
482,152222.621
483,316375.691
484,548941.992
485,831219.226
486,1188431.950
487,1512973.030
488,1746307.906
489,1930789.569
490,2009923.684
491,1956776.929
492,1778329.067
493,1499713.233
494,1195844.915
495,860103.101
496,591947.963
497,383804.591
498,208549.255
499,105360.718
500,47777.773
501,15788.177
502,4354.981
503,1130.163
504,475.587
505,348.950
506,320.958
507,336.418
508,341.012
509,338.603
510,317.369
511,296.017
512,310.491
513,324.925
514,318.904
515,309.486
516,280.484
517,266.458
518,247.877
519,239.746
520,244.126
521,201.316
522,209.651
523,225.351
524,201.529
525,201.279
526,213.732
527,203.761
528,234.034
529,226.418
530,226.024
531,222.694
532,252.711
533,246.247
534,235.958
535,212.589
536,187.794
537,195.935
538,167.817
539,156.945
540,164.576
541,144.619
542,113.574
543,127.990
544,120.279
545,151.664
546,141.883
547,117.985
548,126.906
549,127.227
550,125.972
551,134.347
552,144.105
553,137.834
554,137.871
555,132.175
556,149.513
557,125.990
558,157.631
559,148.327
560,129.586
561,140.041
562,132.682
563,146.493
564,117.507
565,128.451
566,124.869
567,122.009
568,145.646
569,148.659
570,156.087
571,144.163
572,132.340
573,138.700
574,139.837
575,138.989
576,129.203
577,145.076
578,126.848
579,135.549
580,143.459
581,126.095
582,126.097
583,140.780
584,131.218
585,128.367
586,135.718
587,123.272
588,135.389
589,123.229
590,125.031
591,129.951
592,150.291
593,142.334
594,143.703
595,131.294
596,148.050
597,131.812
598,136.357
599,131.945
600,134.263
601,138.963
602,123.108
603,146.204
604,132.347
605,160.845
606,142.396
607,161.800
608,159.536
609,131.374
610,149.613
611,159.126
612,166.664
613,158.535
614,138.157
615,161.817
616,168.244
617,160.619
618,143.388
619,146.660
620,167.231
621,176.223
622,181.823
623,153.544
624,154.533
625,155.365
626,185.148
627,151.792
628,168.726
629,169.711
630,171.430
631,185.327
632,169.694
633,182.291
634,157.907
635,170.783
636,166.340
637,167.872
638,172.238
639,169.508
640,176.495
641,150.366
642,163.536
643,163.257
644,173.389
645,182.825
646,182.494
647,166.010
648,169.204
649,161.220
650,155.293
651,158.548
652,157.109
653,207.243
654,177.193
655,168.508
656,171.893
657,165.496
658,171.574
659,165.226
660,139.687
661,184.795
662,154.871
663,178.932
664,132.706
665,181.294
666,146.616
667,170.101
668,192.869
669,154.487
670,160.597
671,181.035
672,176.196
673,160.728
674,168.525
675,182.730
676,173.384
677,187.539
678,189.198
679,173.109
680,176.695
681,228.840
682,203.787
683,191.836
684,195.008
685,179.550
686,189.451
687,203.654
688,174.590
689,204.502
690,208.877
691,210.405
692,213.133
693,195.038
694,227.640
695,195.102
696,235.665
697,239.696
698,208.065
699,221.625
700,236.080
701,220.783
702,240.474
703,273.703
704,234.627
705,238.070
706,297.118
707,264.817
708,265.712
709,271.786
710,245.788
711,234.532
712,279.998
713,272.509
714,285.521
715,256.131
716,256.275
717,277.368
718,257.335
719,259.183
720,270.756
721,309.885
722,350.289
723,433.602
724,517.310
725,624.903
726,819.108
727,1140.168
728,1256.927
729,1707.453
730,1847.816
731,2268.855
732,2561.671
733,2592.194
734,2749.910
735,2600.805
736,2382.991
737,2371.592
738,2031.240
739,1726.490
740,1500.296
741,1244.953
742,958.254
743,803.463
744,717.191
745,593.627
746,502.532
747,426.336
748,374.793
749,412.734
750,430.885
751,410.104
752,389.124
753,448.378
754,444.261
755,437.304
756,442.732
757,397.782
758,443.219
759,441.404
760,465.517
761,428.568
762,414.446
763,430.397
764,424.995
765,383.982
766,524.116
767,465.783
768,467.555
769,479.211
770,483.590
771,497.631
772,513.523
773,477.134
774,493.140
775,488.668
776,539.050
777,534.442
778,512.434
779,618.234
780,499.562
781,518.722
782,629.860
783,591.902
784,614.015
785,641.159
786,637.181
787,547.449
788,577.663
789,643.894
790,658.123
791,660.571
792,557.473
793,730.008
794,710.836
795,818.745
796,662.436
797,741.719
798,749.144
799,842.537
800,679.630
